,From,To,Booking_date,Journey_date,Airline,Code,Departure,Arrival,Duration,Stops,Price
125,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-403,12:50,19:15,6h 25m,1 stop,"₹13,692"
126,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-883,22:00,"08:05
+1D",10h 5m,1 stop,"₹13,725"
127,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-637,17:10,"11:15
+1D",18h 5m,1 stop,"₹13,615"
128,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-706,13:40,"11:15
+1D",21h 35m,1 stop,"₹13,615"
129,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-883,22:00,"16:35
+1D",18h 35m,1 stop,"₹13,935"
130,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-560,07:10,23:50,16h 40m,1 stop,"₹14,145"
131,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-637,17:10,22:20,5h 10m,1 stop,"₹14,352"
132,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-706,13:40,22:20,8h 40m,1 stop,"₹14,352"
133,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-479,21:15,"11:35
+1D",14h 20m,1 stop,"₹14,525"
134,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-643,14:10,19:00,4h 50m,1 stop,"₹15,297"
135,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-415,16:45,"12:05
+1D",19h 20m,1 stop,"₹15,436"
136,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-473,18:40,"17:15
+1D",22h 35m,1 stop,"₹15,405"
137,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-781,17:50,23:30,5h 40m,1 stop,"₹15,505"
138,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-977,18:55,21:15,2h 20m,non-stop,"₹15,720"
139,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-673,13:20,18:20,5h 0m,1 stop,"₹16,032"
140,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-811,06:15,12:00,5h 45m,1 stop,"₹16,135"
141,Delhi,Mumbai,2022-06-23,2022-06-24,GO FIRST,G8-213,11:50,18:25,6h 35m,1 stop,"₹16,163"
142,Delhi,Mumbai,2022-06-23,2022-06-24,SpiceJet,SG-8171,12:05,18:50,6h 45m,1 stop,"₹16,098"
143,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-803,06:10,21:05,14h 55m,1 stop,"₹16,350"
144,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-406,10:15,15:40,5h 25m,1 stop,"₹16,928"
145,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-504,21:15,"08:35
+1D",11h 20m,1 stop,"₹16,875"
146,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-506,09:45,"08:35
+1D",22h 50m,1 stop,"₹16,875"
147,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-407,13:45,"12:05
+1D",22h 20m,1 stop,"₹17,011"
148,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-885,10:45,16:35,5h 50m,1 stop,"₹17,190"
149,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-506,09:45,21:05,11h 20m,1 stop,"₹17,085"
150,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-885,10:45,"00:35
+1D",13h 50m,1 stop,"₹17,190"
151,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-504,21:15,"10:35
+1D",13h 20m,1 stop,"₹17,085"
152,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-705,07:30,13:00,5h 30m,1 stop,"₹17,605"
153,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-451,15:00,"16:25
+1D",25h 25m,1 stop,"₹17,505"
154,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-707,17:30,23:30,6h 0m,1 stop,"₹17,922"
155,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-540,20:40,"08:05
+1D",11h 25m,1 stop,"₹17,820"
156,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-401,06:50,20:15,13h 25m,1 stop,"₹17,820"
157,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-807,17:15,"08:35
+1D",15h 20m,1 stop,"₹17,820"
158,Delhi,Mumbai,2022-06-23,2022-06-24,SpiceJet,SG-751,11:30,18:00,6h 30m,1 stop,"₹18,115"
159,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-762,20:15,"12:20
+1D",16h 5m,1 stop,"₹18,030"
160,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-807,17:15,"10:35
+1D",17h 20m,1 stop,"₹18,030"
161,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-764,16:45,"12:20
+1D",19h 35m,1 stop,"₹18,030"
162,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-877,11:10,17:15,6h 5m,1 stop,"₹18,240"
163,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-540,20:40,"18:00
+1D",21h 20m,1 stop,"₹18,555"
164,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-767,12:10,20:15,8h 5m,1 stop,"₹19,080"
165,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-762,20:15,"20:15
+1D",24h 0m,1 stop,"₹19,500"
166,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-764,16:45,"20:15
+1D",27h 30m,1 stop,"₹19,500"
167,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-839,21:30,"23:50
+1D",26h 20m,1 stop,"₹20,025"
168,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-817,16:05,21:50,5h 45m,1 stop,"₹20,969"
169,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-813,17:35,23:25,5h 50m,1 stop,"₹21,494"
170,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-502,13:30,"08:35
+1D",19h 5m,1 stop,"₹21,600"
171,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-502,13:30,21:05,7h 35m,1 stop,"₹21,810"
172,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-819,14:15,20:15,6h 0m,1 stop,"₹22,754"
173,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-899,14:45,20:30,5h 45m,1 stop,"₹24,539"
174,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-879,17:35,23:00,5h 25m,1 stop,"₹24,959"
175,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-801,14:30,22:40,8h 10m,1 stop,"₹26,850"
176,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-465,16:55,"10:10
+1D",17h 15m,1 stop,"₹32,943"
177,Delhi,Mumbai,2022-06-23,2022-06-25,IndiGo,6E-2009,02:00,04:10,2h 10m,non-stop,"₹8,579"
178,Delhi,Mumbai,2022-06-23,2022-06-25,Air Asia,I5-764,04:25,06:35,2h 10m,non-stop,"₹8,579"
179,Delhi,Mumbai,2022-06-23,2022-06-25,Vistara,UK-975,05:55,07:55,2h 0m,non-stop,"₹8,578"
180,Delhi,Mumbai,2022-06-23,2022-06-25,IndiGo,6E-5023,06:30,08:35,2h 5m,non-stop,"₹8,579"
181,Delhi,Mumbai,2022-06-23,2022-06-25,IndiGo,6E-6814,07:20,09:25,2h 5m,non-stop,"₹8,579"
182,Delhi,Mumbai,2022-06-23,2022-06-25,SpiceJet,SG-8701,07:20,09:35,2h 15m,non-stop,"₹8,579"
183,Delhi,Mumbai,2022-06-23,2022-06-25,Vistara,UK-943,07:30,09:45,2h 15m,non-stop,"₹8,578"
184,Delhi,Mumbai,2022-06-23,2022-06-25,IndiGo,6E-2129,08:00,10:20,2h 20m,non-stop,"₹8,579"
185,Delhi,Mumbai,2022-06-23,2022-06-25,IndiGo,6E-6278,08:45,11:00,2h 15m,non-stop,"₹8,579"
186,Delhi,Mumbai,2022-06-23,2022-06-25,Vistara,UK-963,08:50,11:10,2h 20m,non-stop,"₹8,578"
187,Delhi,Mumbai,2022-06-23,2022-06-25,Vistara,UK-927,09:30,11:35,2h 5m,non-stop,"₹8,578"
188,Delhi,Mumbai,2022-06-23,2022-06-25,Vistara,UK-995,10:20,12:35,2h 15m,non-stop,"₹8,578"
189,Delhi,Mumbai,2022-06-23,2022-06-25,IndiGo,6E-5342,10:45,12:50,2h 5m,non-stop,"₹8,579"
190,Delhi,Mumbai,2022-06-23,2022-06-25,Vistara,UK-945,11:40,14:00,2h 20m,non-stop,"₹8,578"
191,Delhi,Mumbai,2022-06-23,2022-06-25,IndiGo,6E-2138,11:55,13:55,2h 0m,non-stop,"₹8,579"
192,Delhi,Mumbai,2022-06-23,2022-06-25,Vistara,UK-993,12:50,15:00,2h 10m,non-stop,"₹8,578"
193,Delhi,Mumbai,2022-06-23,2022-06-25,IndiGo,6E-2176,14:10,16:20,2h 10m,non-stop,"₹8,579"
194,Delhi,Mumbai,2022-06-23,2022-06-25,IndiGo,6E-5306,15:25,17:35,2h 10m,non-stop,"₹8,579"
195,Delhi,Mumbai,2022-06-23,2022-06-25,Vistara,UK-933,15:30,17:40,2h 10m,non-stop,"₹8,578"
196,Delhi,Mumbai,2022-06-23,2022-06-25,Vistara,UK-941,16:45,19:05,2h 20m,non-stop,"₹8,578"
197,Delhi,Mumbai,2022-06-23,2022-06-25,IndiGo,6E-5318,17:00,19:05,2h 5m,non-stop,"₹8,579"
198,Delhi,Mumbai,2022-06-23,2022-06-25,Vistara,UK-955,17:45,20:05,2h 20m,non-stop,"₹8,578"
199,Delhi,Mumbai,2022-06-23,2022-06-25,IndiGo,6E-2017,18:10,20:25,2h 15m,non-stop,"₹8,579"
200,Delhi,Mumbai,2022-06-23,2022-06-25,Vistara,UK-977,18:55,21:15,2h 20m,non-stop,"₹8,578"
201,Delhi,Mumbai,2022-06-23,2022-06-25,SpiceJet,SG-8709,19:00,21:10,2h 10m,non-stop,"₹8,579"
202,Delhi,Mumbai,2022-06-23,2022-06-25,Vistara,UK-985,19:45,21:55,2h 10m,non-stop,"₹8,578"
203,Delhi,Mumbai,2022-06-23,2022-06-25,IndiGo,6E-6261,19:45,21:55,2h 10m,non-stop,"₹8,579"
204,Delhi,Mumbai,2022-06-23,2022-06-25,SpiceJet,SG-8169,19:45,22:00,2h 15m,non-stop,"₹8,579"
205,Delhi,Mumbai,2022-06-23,2022-06-25,Vistara,UK-953,20:40,22:50,2h 10m,non-stop,"₹8,578"
206,Delhi,Mumbai,2022-06-23,2022-06-25,Air India,AI-605,21:15,23:35,2h 20m,non-stop,"₹8,580"
207,Delhi,Mumbai,2022-06-23,2022-06-25,Vistara,UK-981,21:30,23:30,2h 0m,non-stop,"₹8,578"
